PBIUSI	Genus	species	Country	State_Prov	Sec_Subdiv	Locality	Lat	Lon	Start_Date	End_Date	Collector	Sex	Inst_Code	Project	Type	Det_By	Det_Date	Det_History	Spec_Notes	Loc_Notes	Accuracy	Coll_Method	Pres_Method	Spec_Count	Lat_Lon_Method	Lat_Lon_Accuracy	Elev_m	Elev_f	Elev_Det	Trip_Code	Dissections	Illustrations	Measurements	Photos	SEM	DNA	OrigUSI	Family	Subfamily	Tribe	Macro_Habitat	Micro_Habitat	Host_Family	Host_Genus	Host_species	Host_subspecies	Host_Author	Host_Common_Name	Host_Relation	Host_Location	Host_Emergence_Date	Host_with_Specimen
AMNH_BEE 00011370	Andrena	asteris	USA	New York	Suffolk	Gardiners Island	41.09778	-72.10389	26 Sep 2005		R. G. Goelet	Adult Female	AMNH	Data citation: Digital Bee Collections Network, 2014 (and updates). Version: <download date>. National Science Foundation grant DBI 0956388; Contact: Ascher, John S. (dbsajs@nus.edu.sg)	None	J. S. Ascher	2006					Netting	Pinned	1							NO	NO	NO	NO	NO			Andrenidae	Andreninae	Andrenini												NO
AMNH_BEE 00011371	Andrena	asteris	USA	New York	Suffolk	Gardiners Island	41.09778	-72.10389	26 Sep 2005		R. G. Goelet	Adult Female	AMNH	Data citation: Digital Bee Collections Network, 2014 (and updates). Version: <download date>. National Science Foundation grant DBI 0956388; Contact: Ascher, John S. (dbsajs@nus.edu.sg)	None	J. S. Ascher	2006					Netting	Pinned	1							NO	NO	NO	NO	NO			Andrenidae	Andreninae	Andrenini												NO
AMNH_BEE 00011372	Andrena	asteris	USA	New York	Suffolk	Gardiners Island	41.09778	-72.10389	26 Sep 2005		R. G. Goelet	Adult Female	AMNH	Data citation: Digital Bee Collections Network, 2014 (and updates). Version: <download date>. National Science Foundation grant DBI 0956388; Contact: Ascher, John S. (dbsajs@nus.edu.sg)	None	J. S. Ascher	2006					Netting	Pinned	1							NO	NO	NO	NO	NO			Andrenidae	Andreninae	Andrenini												NO
AMNH_BEE 00011373	Andrena	asteris	USA	New York	Suffolk	Gardiners Island	41.09778	-72.10389	26 Sep 2005		R. G. Goelet	Adult Female	AMNH	Data citation: Digital Bee Collections Network, 2014 (and updates). Version: <download date>. National Science Foundation grant DBI 0956388; Contact: Ascher, John S. (dbsajs@nus.edu.sg)	None	J. S. Ascher	2006					Netting	Pinned	1							NO	NO	NO	NO	NO			Andrenidae	Andreninae	Andrenini												NO
AMNH_BEE 00011374	Andrena	asteris	USA	New York	Suffolk	Gardiners Island	41.09778	-72.10389	26 Sep 2005		R. G. Goelet	Adult Female	AMNH	Data citation: Digital Bee Collections Network, 2014 (and updates). Version: <download date>. National Science Foundation grant DBI 0956388; Contact: Ascher, John S. (dbsajs@nus.edu.sg)	None	J. S. Ascher	2006					Netting	Pinned	1							NO	NO	NO	NO	NO			Andrenidae	Andreninae	Andrenini												NO
AMNH_BEE 00011375	Andrena	asteris	USA	New York	Suffolk	Gardiners Island	41.09778	-72.10389	26 Sep 2005		R. G. Goelet	Adult Female	AMNH	Data citation: Digital Bee Collections Network, 2014 (and updates). Version: <download date>. National Science Foundation grant DBI 0956388; Contact: Ascher, John S. (dbsajs@nus.edu.sg)	None	J. S. Ascher	2006					Netting	Pinned	1							NO	NO	NO	NO	NO			Andrenidae	Andreninae	Andrenini												NO
AMNH_BEE 00011376	Andrena	asteris	USA	New York	Suffolk	Gardiners Island	41.09778	-72.10389	26 Sep 2005		R. G. Goelet	Adult Female	AMNH	Data citation: Digital Bee Collections Network, 2014 (and updates). Version: <download date>. National Science Foundation grant DBI 0956388; Contact: Ascher, John S. (dbsajs@nus.edu.sg)	None	J. S. Ascher	2006					Netting	Pinned	1							NO	NO	NO	NO	NO			Andrenidae	Andreninae	Andrenini												NO
AMNH_BEE 00011377	Andrena	asteris	USA	New York	Suffolk	Gardiners Island	41.09778	-72.10389	26 Sep 2005		R. G. Goelet	Adult Male	AMNH	Data citation: Digital Bee Collections Network, 2014 (and updates). Version: <download date>. National Science Foundation grant DBI 0956388; Contact: Ascher, John S. (dbsajs@nus.edu.sg)	None	J. S. Ascher	2006					Netting	Pinned	1							NO	NO	NO	NO	NO			Andrenidae	Andreninae	Andrenini												NO
AMNH_BEE 00011378	Andrena	asteris	USA	New York	Suffolk	Gardiners Island	41.09778	-72.10389	26 Sep 2005		R. G. Goelet	Adult Male	AMNH	Data citation: Digital Bee Collections Network, 2014 (and updates). Version: <download date>. National Science Foundation grant DBI 0956388; Contact: Ascher, John S. (dbsajs@nus.edu.sg)	None	J. S. Ascher	2006					Netting	Pinned	1							NO	NO	NO	NO	NO			Andrenidae	Andreninae	Andrenini												NO
AMNH_BEE 00011379	Andrena	asteris	USA	New York	Suffolk	Gardiners Island	41.09778	-72.10389	26 Sep 2005		R. G. Goelet	Adult Male	AMNH	Data citation: Digital Bee Collections Network, 2014 (and updates). Version: <download date>. National Science Foundation grant DBI 0956388; Contact: Ascher, John S. (dbsajs@nus.edu.sg)	None	J. S. Ascher	2006					Netting	Pinned	1							NO	NO	NO	NO	NO			Andrenidae	Andreninae	Andrenini												NO
