id,institutionCode,collectionCode,ownerInstitutionCode,collectionID,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,kingdom,phylum,class,order,family,scientificName,taxonID,scientificNameAuthorship,genus,specificEpithet,taxonRank,infraspecificEpithet,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,recordNumber,eventDate,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,fieldNumber,informationWithheld,dataGeneralizations,dynamicProperties,associatedTaxa,associatedOccurrences,reproductiveCondition,establishmentMeans,lifeStage,sex,individualCount,samplingProtocol,samplingEffort,preparations,country,stateProvince,county,municipality,locality,locationRemarks,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,rights,rightsHolder,accessRights,recordId,references
20416054,MCZ,Ent,"Museum of Comparative Zoology, H",029816b2-ba46-4c89-9ebb-c1c630a0ce7e,PreservedSpecimen,MCZ:Ent:609438,609438,"BHI number=BHI-004524",Animalia,Arthropoda,Insecta,Hymenoptera,Andrenidae,"Andrena asteris Robertson",,Robertson,,,,,"Sam Droege",2011-12-31,,"Labels: Specimen Notes: ; AH 4/7",,,,"Jessica Worl",,2007-09-25,2007,9,25,268,,"25 September 2007","life stage: adult; sex: Male",,,,,"{""life stage"":""adult"", ""sex"":""Male""}",,,,,,Male,1,,,"whole animal (pinned)","United States",Massachusetts,Suffolk,,"Calf Island","GE coordinate",42.3411111111,-70.8961111111,WGS84,,"deg. min. sec.","Jessica Rykken","not recorded",GPS,unverified,,,,,,,,"not applicable",en,,"2018-03-27 10:01:39",http://creativecommons.org/licenses/by-nc/4.0/,"President and Fellows of Harvard College","The publisher and rights holder of this work is Museum of Comparative Zoology, Harvard University. Copyright © 2018 President and Fellows of Harvard College, Some Rights Reserved. This work is licensed under a Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.",urn:uuid:b56d0e57-b9b8-4fdd-9873-4e8da9557da8,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=20416054
20323586,MCZ,Ent,"Museum of Comparative Zoology, H",029816b2-ba46-4c89-9ebb-c1c630a0ce7e,PreservedSpecimen,MCZ:Ent:609439,609439,"BHI number=BHI-005327",Animalia,Arthropoda,Insecta,Hymenoptera,Andrenidae,"Andrena asteris Robertson",,Robertson,,,,,"Jessica Rykken",2011-12-31,,"Labels: Specimen Notes: ; AH 6/2",,,,"Jessica Rykken",,2008-10-08,2008,10,8,282,,"8 October 2008","life stage: adult; sex: Female",,,,,"{""life stage"":""adult"", ""sex"":""Female""}",,,,,,Female,1,"bee bowl",,"whole animal (pinned)","United States",Massachusetts,Norfolk,,"Grape Island","GP-BB-1 25.08,WP198",42.2684722222,-70.9202222222,WGS84,,"deg. min. sec.","Jessica Rykken","not recorded",GPS,unverified,,,,,,,,"not applicable",en,,"2018-04-19 10:58:52",http://creativecommons.org/licenses/by-nc/4.0/,"President and Fellows of Harvard College","The publisher and rights holder of this work is Museum of Comparative Zoology, Harvard University. Copyright © 2018 President and Fellows of Harvard College, Some Rights Reserved. This work is licensed under a Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.",urn:uuid:38fec1ff-c709-4500-ac1e-710aa3e27313,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=20323586
20323587,MCZ,Ent,"Museum of Comparative Zoology, H",029816b2-ba46-4c89-9ebb-c1c630a0ce7e,PreservedSpecimen,MCZ:Ent:609440,609440,"BHI number=BHI-004523",Animalia,Arthropoda,Insecta,Hymenoptera,Andrenidae,"Andrena asteris Robertson",,Robertson,,,,,"Sam Droege",2011-12-31,,"Labels: Specimen Notes: ; AH 4/7",,,,"Jessica Rykken",,2007-10-02,2007,10,2,275,,"2 October 2007","life stage: adult; sex: Female",,,,,"{""life stage"":""adult"", ""sex"":""Female""}",,,,,,Female,1,,,"whole animal (pinned)","United States",Massachusetts,Suffolk,,"Snake Island","GE coordinate",42.3661111111,-70.9794444444,WGS84,,"deg. min. sec.","Jessica Rykken","not recorded",GPS,unverified,,,,,,,,"not applicable",en,,"2018-03-26 15:20:22",http://creativecommons.org/licenses/by-nc/4.0/,"President and Fellows of Harvard College","The publisher and rights holder of this work is Museum of Comparative Zoology, Harvard University. Copyright © 2018 President and Fellows of Harvard College, Some Rights Reserved. This work is licensed under a Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.",urn:uuid:3e8ebefc-ea4f-449a-962e-b1d4811403e0,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=20323587
20323588,MCZ,Ent,"Museum of Comparative Zoology, H",029816b2-ba46-4c89-9ebb-c1c630a0ce7e,PreservedSpecimen,MCZ:Ent:609436,609436,"BHI number=BHI-000318",Animalia,Arthropoda,Insecta,Hymenoptera,Andrenidae,"Andrena asteris Robertson",,Robertson,,,,,"Sam Droege",2011-12-31,,Labels:,,,,"Jessica Rykken",,2005-09-27,2005,9,27,270,,"27 September 2005","sex: Female",,,,,"{""sex"":""Female""}",,,,,,Female,1,,,"whole animal (pinned)","United States",Massachusetts,Suffolk,,"Thompson Island","GE coordinate--habitat unknown",42.3172222222,-71.0086111111,WGS84,,"deg. min. sec.","Needham 6th Grade","not recorded",GPS,unverified,,,,,,,,"not applicable",en,,"2018-03-27 10:01:09",http://creativecommons.org/licenses/by-nc/4.0/,"President and Fellows of Harvard College","The publisher and rights holder of this work is Museum of Comparative Zoology, Harvard University. Copyright © 2018 President and Fellows of Harvard College, Some Rights Reserved. This work is licensed under a Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.",urn:uuid:516b56df-001b-47f2-8d9c-4c776895dce1,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=20323588
20323589,MCZ,Ent,"Museum of Comparative Zoology, H",029816b2-ba46-4c89-9ebb-c1c630a0ce7e,PreservedSpecimen,MCZ:Ent:609441,609441,"BHI number=BHI-011052",Animalia,Arthropoda,Insecta,Hymenoptera,Andrenidae,"Andrena asteris Robertson",,Robertson,,,,,"Michael Veit",2011-12-31,,"Labels: Specimen Notes: ; ME2/17/11",,,,"M. Albert",,2010-10-13,2010,10,13,286,,"13 October 2010","sex: Female",,,,,"{""sex"":""Female""}",,,,,,Female,1,,,"whole animal (pinned)","United States",Massachusetts,Suffolk,,"Thompson Island","wp #374",42.3163611111,-71.0084444444,WGS84,,"deg. min. sec.","M. Albert","not recorded",GPS,unverified,,,,,,,,"not applicable",en,,"2018-03-27 10:01:09",http://creativecommons.org/licenses/by-nc/4.0/,"President and Fellows of Harvard College","The publisher and rights holder of this work is Museum of Comparative Zoology, Harvard University. Copyright © 2018 President and Fellows of Harvard College, Some Rights Reserved. This work is licensed under a Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.",urn:uuid:bc397dcc-f67a-4e89-9444-652d602e6da7,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=20323589
20323590,MCZ,Ent,"Museum of Comparative Zoology, H",029816b2-ba46-4c89-9ebb-c1c630a0ce7e,PreservedSpecimen,MCZ:Ent:609437,609437,"BHI number=BHI-002820",Animalia,Arthropoda,Insecta,Hymenoptera,Andrenidae,"Andrena asteris Robertson",,Robertson,,,,,"Sam Droege",2011-12-31,,Labels:,,,,"Jessica Rykken",,2006-09-22,2006,9,22,265,,"22 September 2006",,,,,,{},,,,,,,1,,,"whole animal (pinned)","United States",Massachusetts,Plymouth,,"World's End","GE coordinate,qualitative ""net"" sample (from all over island) ,top of Planter's Hill",42.2638888889,-70.8769444444,WGS84,,"deg. min. sec.","Michael Veit","not recorded",GPS,unverified,,,,,,,,"not applicable",en,,"2016-10-21 14:30:53",http://creativecommons.org/licenses/by-nc/4.0/,"President and Fellows of Harvard College","The publisher and rights holder of this work is Museum of Comparative Zoology, Harvard University. Copyright © 2018 President and Fellows of Harvard College, Some Rights Reserved. This work is licensed under a Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.",urn:uuid:42d298c7-9274-4768-aa37-4244d979c23e,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=20323590
13179013,"C.A. Triplehorn Insect Collection, Ohio State University, Columb",Insects,,b4da3ef0-06c9-471b-ad36-9e964c6a66c6,PreservedSpecimen,urn:lsid:biosci.ohio-state.edu:osuc_occurrences:OSUC__125290,"OSUC 125290",,Animalia,Arthropoda,Insecta,Hymenoptera,Andrenidae,"Andrena asteris",169808,"Robertson, 1891",Andrena,asteris,,,,2000,,,,,,"Borror, D. J. (Donald J.)",,1941-08-25,1941,8,25,237,,"25 August 1941",,,,,,,,,,,adult,female,1,"none specified",,,"United States",Maine,Lincoln,,"Lincoln Co., ME",,44.1333,-69.7583,,,,,,GNIS-USGS,,,,,,,,,,en,,"2015-02-09 15:41:19",http://creativecommons.org/publicdomain/zero/1.0/,"Ohio State University",,urn:uuid:26c96ecb-8e47-4049-a6ba-1bcbe20f7254,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=13179013
13179014,"C.A. Triplehorn Insect Collection, Ohio State University, Columb",Insects,,b4da3ef0-06c9-471b-ad36-9e964c6a66c6,PreservedSpecimen,urn:lsid:biosci.ohio-state.edu:osuc_occurrences:OSUC__125291,"OSUC 125291",,Animalia,Arthropoda,Insecta,Hymenoptera,Andrenidae,"Andrena asteris",169808,"Robertson, 1891",Andrena,asteris,,,,2000,,,,,,"Osburn, R. C. (Raymond Carroll)",,1937-09-09,1937,9,9,252,,"9 September 1937",,,,,,,,,,,adult,female,1,"none specified",,,"United States","New York",Rensselaer,,"East Greenbush, Rensselaer Co., NY",,42.5908,-73.7017,,,,,,USGS-GNIS,,,,,,,,,,en,,"2015-02-09 15:41:20",http://creativecommons.org/publicdomain/zero/1.0/,"Ohio State University",,urn:uuid:ea9e972d-dcdc-4e5a-b18e-89f91f5b3575,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=13179014
13179015,"C.A. Triplehorn Insect Collection, Ohio State University, Columb",Insects,,b4da3ef0-06c9-471b-ad36-9e964c6a66c6,PreservedSpecimen,urn:lsid:biosci.ohio-state.edu:osuc_occurrences:OSUC__125292,"OSUC 125292",,Animalia,Arthropoda,Insecta,Hymenoptera,Andrenidae,"Andrena asteris",169808,"Robertson, 1891",Andrena,asteris,,,,2000,,,,,,"Osburn, R. C. (Raymond Carroll)",,1937-09-15,1937,9,15,258,,"15 September 1937",,,,,,,,,,,adult,female,1,"none specified",,,"United States",Maine,Knox,,"Camden, Knox Co., ME",,44.2103,-69.0533,,,,,,GNIS-USGS,,,,,,,,,,en,,"2015-02-09 15:41:19",http://creativecommons.org/publicdomain/zero/1.0/,"Ohio State University",,urn:uuid:da5157b9-c468-4451-8d5c-cc0b74a0f4a9,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=13179015
13399268,"C.A. Triplehorn Insect Collection, Ohio State University, Columb",Insects,,b4da3ef0-06c9-471b-ad36-9e964c6a66c6,PreservedSpecimen,urn:lsid:biosci.ohio-state.edu:osuc_occurrences:OSUC__446688,"OSUC 446688",,Animalia,Arthropoda,Insecta,Hymenoptera,Andrenidae,"Andrena asteris",169808,"Robertson, 1891",Andrena,asteris,,,"Arduser, M. S. (Michael S.)",2013,,,,,,Arduser,,2003-09-21,2003,9,21,264,,"21 September 2003",,,,,,,Solidago,,,,adult,female,1,"none specified",,,"United States",Ohio,Lucas,,"Kitty Todd Nature Preserve (TNC), Eber Road & Old State Line Road, Lucas Co., OH",,41.6175,-83.7864,,,,,,"Google Earth",,"derived from ODNR",,,,,,,,en,,"2015-02-09 15:44:15",http://creativecommons.org/publicdomain/zero/1.0/,"Ohio State University",,urn:uuid:5d610e7f-32c0-4e06-b19e-3b8fe128b09f,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=13399268
